,AMD16_Normal,AMD16_Reordered,AMD64_Normal,AMD64_Reordered,AMD48_Normal,AMD48_Reordered,AMD128_Normal,AMD128_Reordered,SKY32_Normal,SKY32_Reordered,ICE72_Normal,ICE72_Reordered,ARM_Normal,ARM_Reordered,HUA_Normal,HUA_Reordered
./PARSEC/Ga3As3H12/Ga3As3H12.mtx,0.00057578,0.00168067,0.00026005,0.00300532,0.00025588,0.00065319,0.00016407,0.00049039,0.00051687,0.00172284,0.00025387,0.00089096,0.00062343,0.00185617,0.00034771,0.00267258
./PARSEC/GaAsH6/GaAsH6.mtx,0.00036068,0.00075424,0.00014649,0.00124592,0.00015334,0.00050974,0.00011782,0.00042363,0.00031342,0.00115716,0.00016592,0.0007347,0.00036626,0.00208277,0.00026025,0.0013447
./PARSEC/Ge87H76/Ge87H76.mtx,0.00058812,0.00067039,0.00024276,0.000541,0.00021856,0.00032061,0.0001942,0.0002077,0.00056067,0.00082229,0.00021921,0.00031633,0.00064921,0.00101531,0.00042055,0.00058227
./PARSEC/Ge99H100/Ge99H100.mtx,0.00062521,0.00086975,0.00024688,0.00063812,0.00023899,0.00033843,0.00018836,0.00028937,0.00060644,0.00088592,0.00023647,0.00039498,0.00064214,0.00104326,0.00045198,0.00065535
./PARSEC/H2O/H2O.mtx,0.00010904,0.00010688,4.613E-05,4.406E-05,6.253E-05,6.28E-05,3.358E-05,6.083E-05,9.479E-05,8.861E-05,2.894E-05,2.962E-05,9.989E-05,0.00010153,0.0001902,0.00018628
./PARSEC/Si34H36/Si34H36.mtx,0.00042159,0.000547,0.00017018,0.00028362,0.00018024,0.00027653,0.00014058,0.00020623,0.00034869,0.00060882,0.00014565,0.00029906,0.00042355,0.00073485,0.00025868,0.00040552
./PARSEC/SiO/SiO.mtx,0.00011974,0.00026802,6.078E-05,0.00023544,6.757E-05,0.00022351,6.325E-05,0.00015105,9.218E-05,0.00037356,5.563E-05,0.00022954,0.00012839,0.00063033,0.00017818,0.00030619
./Rajat/rajat21/rajat21.mtx,0.00023023,0.00025735,0.00018629,0.00018018,0.00017237,0.00020087,0.0001643,0.00017763,0.00025863,0.00025131,0.00017978,0.00022423,0.00049066,0.00048998,0.00047125,0.00033394
./Rajat/rajat24/rajat24.mtx,0.0002368,0.00031902,0.00018175,0.00027648,0.00016507,0.00026386,0.00016269,0.00029841,0.00025628,0.00042876,0.00017648,0.0002821,0.00050061,0.00074587,0.00040753,0.00067003
./Andrianov/ins2/ins2.mtx,0.00095154,0.00095698,0.00204477,0.00242724,0.00088613,0.00092666,0.00080652,0.00093672,0.00173199,0.00179674,0.00102244,0.0013142,0.00210726,0.00273525,0.00302857,0.00320423
./Andrianov/lp1/lp1.mtx,0.00033182,0.00035633,0.00055633,0.00047234,0.0002777,0.00029739,0.00028495,0.00029797,0.00042948,0.0004538,0.00035674,0.00036438,0.000848,0.00086079,0.00200053,0.00075313
./Andrianov/net100/net100.mtx,0.00011658,0.00011278,4.818E-05,4.222E-05,4.623E-05,5.496E-05,2.876E-05,4.201E-05,9.154E-05,8.819E-05,3.481E-05,3.2E-05,0.00010211,8.497E-05,0.00017405,0.00017729
./Andrianov/net125/net125.mtx,0.00013772,0.00013763,5.648E-05,5.193E-05,6.151E-05,5.697E-05,5.297E-05,2.917E-05,0.00010843,0.00010849,4.319E-05,3.958E-05,0.00011858,0.00010525,0.00017387,0.00017788
./Andrianov/net150/net150.mtx,0.00016688,0.00016207,6.981E-05,6.145E-05,6.91E-05,6.601E-05,3.874E-05,3.464E-05,0.00013308,0.00012972,4.785E-05,4.548E-05,0.00015523,0.00012687,0.00017925,0.00018862
./Andrianov/net4-1/net4-1.mtx,0.00014455,0.00010521,6.093E-05,6.673E-05,7.375E-05,5.021E-05,3.679E-05,4.948E-05,0.00011521,9.906E-05,4.093E-05,4.263E-05,0.0001278,0.00014777,0.00015229,0.00018197
./Andrianov/net75/net75.mtx,8.897E-05,8.704E-05,3.7E-05,3.363E-05,3.059E-05,4.157E-05,2.174E-05,3.147E-05,7.316E-05,6.913E-05,2.807E-05,2.511E-05,7.534E-05,6.837E-05,0.0001682,0.00017406
./Andrianov/pattern1/pattern1.mtx,0.00070485,0.00052399,0.00055981,0.0002785,0.00026388,0.00022918,0.00017284,0.000151,0.00072817,0.0006561,0.00023344,0.00030166,0.00082918,0.00063178,0.00044778,0.00032276
